Name,City,STATE,Amount, EndingDate, ValidDateRange,Most snow in 1 day, 1 day DATE,Most snow in 2 days,2 days DATE,Most snow in 3 days QTY,3 days DATE,First 2 inches
JUNEAU INTL AP,Juneau,AK,212.1, 1994-12-31 , 1936-11-01 to 2017-06-06,30.6, 1948-03-21 ,38.6, 1963-04-03 ,42.4, 1963-04-03 ,10/2/2000
YAKUTAT AP,Yakutat,AK,400.6, 1975-12-31 , 1917-04-01 to 2017-06-06,30, 1960-03-11 ,36, 1960-03-12 ,40.4, 1992-03-28 ,10/1/1974
BETHEL AP,Bethel,AK,149.5, 1951-12-31 , 1923-09-01 to 2017-05-31,17.6, 1952-01-03 ,23.1, 1952-01-03 ,33.2, 1952-01-05 ,9/19/1948
ANCHORAGE TED STEVENS INTL AP,Anchorage,AK,171.6,12/31/1955,1953-02-01 to 2017-06-06,22,3/17/2002,29, 1955-12-29 ,33, 1955-12-29 ,9/25/2004
MCGRATH AP,Mcgrath,AK,196.6, 1990-12-31 , 1939-04-01 to 2017-06-06,16.2, 2005-01-03 ,21, 1985-11-10,22.1, 1985-11-11 ,9/17/1992
FAIRBANKS INTL AP,Fairbanks,AK,146.2, 1992-12-31 , 1929-12-01 to 2017-06-06,16, 1966-02-11 ,26.9, 1966-02-12 ,34.6, 1966-02-13 ,9/12/1992
BETTLES AP,Bettles,AK,147.5, 1993-12-31 , 1951-05-01 to 2017-06-06,19, 1965-01-22 ,23.8, 1973-01-28 ,25.9, 1973-01-29 ,8/9/1969
BARROW W POST-W ROGERS AP,Barrow,AK,107.3, 1916-12-31 , 1901-09-01 to 2017-06-06,15, 1926-10-26 ,16.5, 1926-10-27 ,17.1, 1926-10-28 ,8/15/1929
KODIAK AP,Kodiak,AK,178.9, 1956-12-31 , 1931-01-01 to 2017-06-05,21.5, 1947-01-07 ,22.4, 1956-03-23 ,28.7, 1956-03-22 ,10/12/1961
BIRMINGHAM AP,Birmingham,AL,13, 1993-12-31 , 1930-01-01 to 2017-06-06,10.3, 1993-03-13 ,13, 1993-03-13 ,13, 1993-03-14,12/11/1944
HUNTSVILLE INTL AP,Huntsville,AL,24, 1963-12-31 , 1937-12-01 to 2017-06-06,15.7, 1963-12-31 ,17.1, 1964-01-01 ,17.1, 1964-01-02,11/2/1966
MOBILE RGNL AP,Mobile,AL,3.6, 1973-12-31 , 1948-01-01 to 2017-06-05,3.6, 1973-02-09 ,3.6, 1973-02-10,3.6, 1973-02-11,12/31/1963
MONTGOMERY AP,Montgomery,AL,6, 1977-12-31 , 1948-01-01 to 2017-06-06,3.8, 1993-03-13 ,3.8, 1993-03-14,3.8, 1993-03-15,1/18/1977
HOT SPRINGS ASOS,Hot Springs,AR,13.9, 1988-12-31 , 1986-05-27 to 2017-06-06,8, 2000-01-27,11, 1988-01-07 ,11, 1988-01-08,12/13/2000
LITTLE ROCK AP ADAMS FLD,Little Rock,AR,32.6, 1960-12-31 , 1879-07-01 to 2017-06-06,11.3, 1960-01-05 ,13, 1893-01-18 ,13, 1893-01-19,11/9/1892
FT SMITH RGNL AP,Ft Smith,AR,21.9, 1978-12-31 , 1945-09-27 to 2017-06-06,11, 2000-01-27,11.3, 1988-01-07,11.6, 1988-01-07 ,11/2/1951
FAYETTEVILLE DRAKE FLD,Fayetteville,AR,27, 2010-12-31 , 1949-07-14 to 2017-06-06,14.6, 2011-02-09 ,15, 1968-03-12 ,15, 1968-03-13,11/6/1951
PHOENIX SKY HARBOR INTL AP,Phoenix,AZ,0.6, 1939-12-31 , 1933-07-01 to 2017-06-06,0.4, 1939-02-02 ,0.4, 1990-12-22,0.4, 1990-12-23,
PRESCOTT LOVE FLD,Prescott,AZ,51.6, 1949-12-31 , 1948-01-01 to 2017-06-05,17, 1967-12-14 ,25, 1967-12-14 ,32, 1967-12-15 ,11/12/1985
WINSLOW MUNI AP,Winslow,AZ,40.4, 1967-12-31 , 1893-01-01 to 2017-06-05,19, 1923-12-11 ,27.9, 1967-12-14 ,30, 1967-12-15 ,10/30/1972
FLAGSTAFF PULLIAM AP,Flagstaff,AZ,184.3, 1965-12-31 , 1893-01-01 to 2017-06-06,28, 1895-01-16 ,52, 1895-01-16 ,64, 1895-01-17 ,9/19/1965
TAHOE CITY,Tahoe City,CA,499.3, 1952-12-31 , 1904-02-01 to 2017-06-02,42, 1958-04-03,81, 1911-01-13 ,117, 1911-01-13 ,
EUREKA WFO WOODLEY ISLAND,Eureka,CA,6.9, 1907-12-31 , 1900-01-01 to 2017-06-06,3.4, 1907-01-13 ,4.8, 1907-01-14 ,5.9, 1907-01-15 ,
BIG BEAR LAKE,Big Bear Lake,CA,154.5, 1982-12-31 , 1960-07-01 to 2017-06-06,30.5, 2008-12-15 ,46, 1979-02-01 ,54, 1979-02-02 ,
SANTA BARBARA MUNI AP,Santa Barbara,CA,0, 2017-12-31+, 1941-01-02 to 2017-06-06,0, 2017-06-06,0, 2017-06-07,0, 2017-06-07,
SAN FRANCISCO DWTN,San Francisco,CA,3.7, 1887-12-31 , 1876-01-01 to 2017-06-02,3.7, 1887-02-05 ,3.7, 1887-02-06,3.7, 1887-02-07,
SACRAMENTO EXECUTIVE AP,Sacramento,CA,2, 1976-12-31 , 1941-11-10 to 2017-06-05,2, 1976-02-05 ,2, 1976-02-06,2, 1976-02-07,2/5/1976
TRUCKEE AP,Truckee,CA,150.8, 2017-12-31 , 2000-01-01 to 2017-06-06,25, 2009-12-07 ,41, 2009-12-08 ,41, 2009-12-09,9/21/2004
MAMMOTH LAKES RS,Mammoth Lakes,CA,356.8, 2010-12-31 , 1993-12-09 to 2017-05-28,42, 2006-01-02 ,68, 2010-12-20 ,90, 2010-12-20 ,
REDDING MUNI AP,Redding,CA,17, 1988-12-31 , 1986-09-01 to 2017-06-05,10, 1988-12-24 ,10, 1988-12-25,10, 1988-12-26,12/24/1988
LOS ANGELES DOWNTOWN/USC,Los Angeles,CA,2, 1932-12-31 , 1877-12-01 to 2017-06-06,2, 1932-01-15 ,2, 1932-01-16,2, 1932-01-17,
DENVER INTL AP,Denver,CO,74.1, 2013-12-31 , 1995-03-01 to 2017-06-06,17.4, 2006-12-20 ,20.7, 2006-12-21 ,20.7, 2006-12-22,10/17/2006
GRAND JUNCTION WALKER FLD,Grand Junction,CO,55.7, 1948-12-31 , 1900-01-01 to 2017-06-06,14, 1919-11-27 ,22, 1919-11-27 ,23.5, 1919-11-28 ,9/18/1965
ALAMOSA SAN LUIS AP,Alamosa,CO,69.1, 1973-12-31 , 1948-01-01 to 2017-06-06,15.8, 1967-12-13 ,20.3, 1964-12-03 ,21.4, 1967-12-15 ,10/3/1959
PUEBLO MEM AP,Pueblo,CO,72.4, 1990-12-31 , 1954-06-16 to 2017-06-06,16, 1985-11-14 ,17.6, 1990-04-30 ,18.8, 1990-05-01 ,9/17/1971
COLORADO SPRINGS MUNI AP,Colorado Springs,CO,96.4, 1957-12-31 , 1948-04-01 to 2017-06-06,22,1/15/1987,23.5, 1987-01-16 ,28.5, 1959-10-01 ,9/3/1961
DENVER STAPLETON,Denver,CO,112, 1959-12-31 , 1948-01-01 to 2017-06-06,23.6, 1982-12-24 ,29.5, 2003-03-19 ,31.8, 2003-03-20 ,
HARTFORD-BRADLEY INTL AP,Hartford,CT,88.2, 1967-12-31 , 1949-01-01 to 2017-06-06,24, 2011-01-12 ,24, 2011-01-13,24, 2011-01-14,10/29/2011
Bridgeport Area,Bridgeport,CT,68.5, 2003-12-31 , 1948-07-01 to 2017-06-06,18.5, 2013-02-08 ,30, 2013-02-09 ,30, 2013-02-10,10/29/2011
WILMINGTON NEW CASTLE CO AP,Wilmington,DE,57,2010,1948-01-01 to 2017-06-06,22, 1996-01-07 ,25.8, 2010-02-06 ,25.8, 2010-02-07,11/6/1953
FT MYERS PAGE FLD AP,Ft Myers,FL,0, 2017-12-31+, 1907-04-28 to 2017-06-05,,,,,,,
KEY WEST INTL AP,Key West,FL,0, 2017-12-31+, 1948-01-01 to 2017-06-06,,,,,,,
PENSACOLA RGNL AP,Pensacola,FL,2.5, 1977-12-31 , 1948-07-01 to 2017-06-05,2.3,3/6/1954,2.3, 1954-03-07,2.3,3/8/1954,3/6/1954
COLUMBUS METRO AP,Columbus,GA,14, 1973-12-31 , 1948-01-01 to 2017-06-06,11, 1973-02-09 ,14, 1973-02-10 ,14, 1973-02-11,2/9/1973
MACON MIDDLE GA RGNL AP,Macon,GA,16.5, 1973-12-31 , 1948-12-01 to 2017-06-06,11, 1973-02-09 ,16.5, 1973-02-10 ,16.5, 1973-02-11,1/7/1988
ATLANTA HARTSFIELD INTL AP,Atlanta,GA,10.5, 1936-12-31 , 1928-12-25 to 2017-06-06,8.3, 1940-01-23 ,8.3, 1940-01-24,8.3, 1940-01-25,12/19/2000
ATHENS BEN EPPS AP,Athens,GA,10.6, 1983-12-31 , 1945-12-01 to 2017-06-06,8.7, 1983-03-24 ,8.8, 2011-01-10 ,8.8, 2011-01-11,11/11/1968
AUGUSTA BUSH FLD AP,Augusta,GA,14.4, 1973-12-31 , 1946-01-17 to 2017-06-05,8, 2010-02-12,14, 1973-02-10 ,14, 1973-02-11,10/9/1979
MAUNA LOA SLOPE OBS 39,Mauna Loa,HI,5, 1958-12-31 , 1955-01-01 to 2017-06-06,4.5,12/5/1958,4.5,12/5/1958,4.5,12/7/1958,
HILO INTL AP 87,Hilo,HI,0, 2017-12-31+, 1949-10-01 to 2017-06-06,,,,,,,
KAHULUI AP,Kahului,HI,0, 2017-12-31+, 1915-06-01 to 2017-06-06,,,,,,,
LIHUE WSO AP 1020.1,Lihue,HI,0, 2017-12-31+, 1950-02-01 to 2017-06-06,,,,,,,
HONOLULU INTL AP,Honolulu,HI,0, 2017-12-31+, 1949-10-01 to 2017-06-06,,,,,,,
DES MOINES INTL AP,Des Moines,IA,76.2, 1983-12-31 , 1939-09-01 to 2017-06-06,19.8, 1942-01-01 ,21.8, 1942-01-01 ,23.7, 1942-01-01 ,10/26/1997
DUBUQUE RGNL AP,Dubuque,IA,84.9, 2008-12-31 , 1951-02-01 to 2017-06-06,15, 1959-03-05 ,18.6, 1973-04-09 ,19.2, 1973-04-10 ,10/26/1997
SIOUX CITY GATEWAY AP,Sioux City,IA,64.7, 1983-12-31 , 1896-01-01 to 2017-06-06,20, 1913-04-10 ,22.9, 1913-04-10 ,22.9, 1913-04-11,10/9/1970
WATERLOO MUNI AP,Waterloo,IA,64.3, 2000-12-31 , 1950-03-01 to 2017-06-06,13.2, 1971-01-03 ,15.8, 1971-01-04 ,15.8, 1971-01-05,10/26/1997
LEWISTON NEZ PERCE CO AP,Lewiston,ID,40.6, 1955-12-31 , 1948-01-01 to 2017-06-06,8.7, 1950-01-15 ,14.8, 1966-01-03 ,14.8, 1966-01-04,11/1/1955
POCATELLO RGNL AP,Pocatello,ID,79.5, 1985-12-31 , 1939-01-03 to 2017-06-06,13, 2003-12-26 ,14.1, 2003-12-27 ,16, 2003-12-28 ,10/1/1971
BOISE AIR TERMINAL,Boise,ID,46.5, 1964-12-31 , 1940-01-01 to 2017-06-06,9.8, 1996-12-20 ,13.6, 1949-02-15 ,13.6, 1949-02-16,11/7/1986
CHICAGO OHARE INTL AP,Chicago,IL,75, 1978-12-31 , 1958-11-01 to 2017-06-06,18.6, 1999-01-02 ,20.6, 1999-01-02 ,21.6, 1999-01-03 ,10/19/1989
SPRINGFIELD ABRAHAM LINCOLN CA,Springfield,IL,47.7, 1960-12-31 , 1901-01-01 to 2017-06-06,17, 2013-03-24 ,18.5, 2013-03-25 ,18.5, 2013-03-26,10/23/1929
PEORIA INTL AP,Peoria,IL,52.3, 1977-12-31 , 1943-05-04 to 2017-06-06,12.2, 1979-01-13 ,15, 2011-02-02 ,17, 2011-02-02 ,11/1/1954
ROCKFORD GTR ROCKFORD AP,Rockford,IL,84.3, 2008-12-31 , 1951-01-01 to 2017-06-06,10.9, 2011-02-01 ,14.3, 2011-02-02 ,15.4, 2011-02-02 ,11/1/1954
EVANSVILLE REGIONAL AP,Evansville,IN,36.4, 1960-12-31 , 1948-01-01 to 2017-06-05,19.3, 2004-12-22 ,22.3, 2004-12-23 ,22.3, 2004-12-24,10/30/1993
INDIANAPOLIS INTL AP,Indianapolis,IN,54.8, 1996-12-31 , 1943-01-01 to 2017-06-06,11.4, 2014-01-05 ,15.2, 1978-01-26 ,15.5, 1978-01-27 ,10/19/1989
S BEND AP,South Bend,IN,141.7, 1978-12-31 , 1893-12-01 to 2017-06-06,26, 2011-01-08 ,36.6, 2011-01-08 ,39.2, 2011-01-08 ,10/19/1989
FT WAYNE INTL AP,Ft Wayne,IN,68.6, 2014-12-31 , 1911-10-01 to 2017-06-06,12.6, 1964-03-10 ,14.3, 1964-03-11 ,15.4, 1964-03-12 ,10/19/1989
WICHITA DWIGHT D EISENHOWER NA,Wichita,KS,44.5, 1987-12-31 , 1953-12-01 to 2017-06-06,12, 1962-01-18 ,15, 1962-01-18 ,15, 1962-01-19,11/5/1959
DODGE CITY RGNL AP,Dodge City,KS,44.5, 1948-12-31 , 1909-04-06 to 2017-06-06,14.5, 1922-03-10 ,18, 1922-03-10 ,18, 1922-03-11,10/18/2013
TOPEKA MUNI AP,Topeka,KS,48.6, 1960-12-31 , 1946-08-01 to 2017-06-06,15.2, 1993-01-09 ,18.2, 1993-01-09 ,19.2, 1993-01-09 ,10/22/1966
GOODLAND RENNER FLD,Goodland,KS,86.2, 1984-12-31 , 1895-09-01 to 2017-06-06,19.3, 1997-10-25 ,20.5, 1983-11-27 ,21.7, 1983-11-28 ,9/20/1995
CONCORDIA MUNI AP,Concordia,KS,58, 1960-12-31 , 1893-01-01 to 2017-06-06,13.2, 1965-02-11 ,17.2, 1924-03-17 ,17.2, 1924-03-18,10/9/1970
PADUCAH BARKLEY RGNL AP,Paducah,KY,37.7, 1960-12-31 , 1949-08-01 to 2017-06-05,14, 2004-12-22 ,14.2, 2004-12-23 ,14.2, 2004-12-24,10/30/1993
LEXINGTON BLUEGRASS AP,Lexington,KY,62.8, 1917-12-31 , 1887-10-24 to 2017-06-06,13.4, 1943-01-26 ,17.1, 2015-03-05 ,17.1, 2015-03-06,10/30/1925
JACKSON JULIAN CARROLL AP,Jackson,KY,53.7, 1996-12-31 , 1981-01-01 to 2017-06-06,19.8, 1993-03-13 ,20.3, 1993-03-13 ,20.4, 1993-03-13 ,10/31/1993
CINCINNATI/NORTHERN KENTUCKY I,Cincinnati,KY,53.9, 1977-12-31 , 1948-01-01 to 2017-06-06,11.8, 1998-02-04 ,18.3, 1998-02-05 ,18.5, 1998-02-06 ,10/19/1989
LOUISVILLE INTL AP,Louisville,KY,43.1, 1978-12-31 , 1945-07-01 to 2017-06-06,15.5, 1994-01-17 ,15.9, 1994-01-17 ,19.2, 1998-02-06 ,10/30/1993
LAKE CHARLES RGNL AP,Lake Charles,LA,4, 1973-12-31 , 1961-11-01 to 2017-06-06,4, 1973-01-11 ,4, 1973-01-12,4, 1973-01-13,1/1/1973
BATON ROUGE RYAN AP,Baton Rouge,LA,3.5, 1940-12-31 , 1930-01-01 to 2017-06-06,3.5, 1940-01-23 ,3.5, 1940-01-24,3.5, 1940-01-25,1/23/1940
SHREVEPORT RGNL AP,Shreveport,LA,14, 1948-12-31 , 1939-07-01 to 2017-06-06,7.9, 1948-01-19 ,7.9, 1948-01-20,7.9, 1948-01-21,12/16/1983
NEW ORLEANS INTL AP,New Orleans,LA,2.7, 1963-12-31 , 1948-01-01 to 2017-06-06,2.7, 1963-12-31 ,2.7, 1964-01-01,2.7, 1964-01-02,12/31/1963
BLUE HILL,Blue Hill,MA,141.1, 2015-12-31 , 1893-04-01 to 2017-06-07,27.4, 1969-02-24 ,34.6, 1969-02-25 ,37.8, 1969-02-26 ,
WORCESTER,Worcester,MA,120.6, 2005-12-31 , 1948-06-01 to 2017-06-06,31.9, 2015-01-27 ,34.5, 2015-01-27 ,34.5, 2015-01-28,10/10/1979
BOSTON,Boston,MA,108.6, 2015-12-31 , 1936-01-01 to 2017-06-06,23.6, 2003-02-17 ,27.6, 2003-02-18 ,27.6, 2003-02-19,11/11/1987
BALTIMORE-WASHINGTON INTL AP,Baltimore,MD,59.7, 1996-12-31 , 1939-07-01 to 2017-06-06,25.5, 2016-01-23 ,29.2, 2016-01-23 ,29.2, 2016-01-24,11/6/1953
PORTLAND INTL JETPORT,Portland,ME,150.1, 1956-12-31 , 1940-11-27 to 2017-06-06,22.3, 1970-12-17 ,31.9, 2013-02-09 ,31.9, 2013-02-10,10/22/1969
CARIBOU MUNI AP,Caribou,ME,176.8, 2008-12-31 , 1939-06-01 to 2017-06-06,28.6, 1984-03-14 ,29, 1984-03-14 ,33.1, 2005-12-27 ,9/29/1991
MARQUETTE WSO AP,Marquette,MI,296.2, 2002-12-31 , 1959-10-01 to 2017-06-06,26.2, 1997-03-14 ,31.9, 1997-03-14 ,49.4, 1977-12-09 ,10/10/1967
LANSING CAPITAL CITY AP,Lansing,MI,86.3, 2008-12-31 , 1948-01-01 to 2017-06-06,15.4, 1967-01-26 ,24, 1967-01-27 ,24, 1967-01-28,10/19/1989
DETROIT METRO AP,Detroit,MI,82.6, 2008-12-31 , 1958-12-01 to 2017-06-06,18.4, 1974-12-01 ,19.3, 1974-12-02 ,19.5, 1974-12-03 ,10/19/1989
GRAND RAPIDS INTL AP,Grand Rapids,MI,143.7, 2008-12-31 , 1963-11-24 to 2017-06-06,16.1, 1978-01-26 ,21.5, 2001-12-27 ,28.2, 2001-12-27 ,10/12/2006
FLINT BISHOP INTL AP,Flint,MI,228.4, 1893-12-31 , 1893-01-01 to 2017-06-06,30, 1894-01-24 ,50, 1894-01-24 ,50, 1894-01-25,10/12/2006
ALPENA CO RGNL AP,Alpena,MI,146, 1985-12-31 , 1916-10-21 to 2017-06-06,18.2, 1922-02-22 ,22, 1978-01-27 ,25.1, 1989-12-15 ,10/22/1969
SAULT STE MARIE SANDERSON FLD,Sault Ste Marie,MI,208.8, 1995-12-31 , 1888-09-01 to 2017-06-06,26.6, 1995-12-10 ,46, 1995-12-10 ,56.5, 1995-12-11 ,9/20/1956
HOUGHTON LK ROSCOMMON AP,Houghton,MI,116.7, 1971-12-31 , 1964-07-01 to 2017-06-06,15.4, 1978-01-26 ,17, 1978-01-27 ,17.5, 1978-01-27 ,10/2/2003
MINNEAPOLIS/ST PAUL AP,Minneapolis/St Paul,MN,101.5, 1983-12-31 , 1938-04-09 to 2017-06-06,18.5, 1991-11-01 ,26.7, 1991-11-01 ,34.6, 1982-01-22 ,10/10/1977
DULUTH INTL AP,Duluth,MN,168.9, 1950-12-31 , 1948-01-01 to 2017-06-06,24.1, 1991-11-01 ,32.6, 1991-11-02 ,36.8, 1991-11-02 ,9/18/1991
INTL FALLS INTL AP,International Falls,MN,131.8, 1992-12-31 , 1907-09-01 to 2017-06-06,14.1, 1975-01-10 ,21.5, 1975-01-11 ,23.5, 1975-01-11 ,10/1/1981
ST CLOUD RGNL AP,St Cloud,MN,84.3, 2013-12-31 , 1904-11-10 to 2017-06-06,14.5, 1965-03-01 ,20.5, 1965-03-02 ,21.7, 1965-03-03 ,10/12/1969
ROCHESTER INTL AP,Rochester,MN,89, 1985-12-31 , 1893-01-01 to 2017-06-06,19.8, 2005-03-18 ,20.1, 2005-03-19 ,20.2, 2005-03-19 ,10/15/1969
SPRINGFIELD WBO,Springfield,MO,40.2, 1912-12-31 , 1887-10-01 to 2017-04-30,18, 1912-02-20 ,20, 1912-02-21 ,20, 1912-02-22,11/1/1951
ST LOUIS LAMBERT INTL AP,St Louis,MO,49.2, 1977-12-31 , 1931-06-01 to 2017-06-05,12.4, 2013-03-24 ,13.9, 1982-01-31 ,13.9, 1982-02-01,11/5/1951
COLUMBIA RGNL AP,Columbia ,MO,49.2, 1978-12-31 , 1969-10-15 to 2017-06-05,18, 1995-01-19 ,19.7, 1995-01-19 ,19.7, 1995-01-20,11/6/1991
KANSAS CITY DOWNTOWN AP,Kansas City,MO,63, 1960-12-31 , 1934-01-01 to 2017-01-18,11.8, 1962-01-18 ,14.6, 1958-01-21 ,14.6, 1958-01-22,10/22/1996
JACKSON INTL AP,Jackson,MS,9.1, 1960-12-31 , 1951-01-01 to 2017-06-06,6, 1960-02-13 ,9.1, 1960-02-13 ,9.1, 1960-02-14,12/14/1997
MERIDIAN KEY FLD,Meridian,MS,19.6, 1963-12-31 , 1944-06-01 to 2017-06-06,14, 1963-12-31 ,15, 1964-01-01 ,15, 1964-01-02,12/20/1963
TUPELO RGNL AP,Tupelo,MS,11, 1968-12-31 , 1962-11-08 to 2017-06-06,8, 1968-03-22 ,11, 1968-03-23 ,11, 1968-03-24,12/22/1963
BILLINGS INTL AP,Billings,MT,126.9, 1955-12-31 , 1934-08-23 to 2017-06-06,23.7, 1955-04-04 ,39.1, 1955-04-04 ,41.3, 1955-04-04 ,9/7/1962
HELENA AP ASOS,Helena,MT,91.5, 1967-12-31 , 1939-05-01 to 2017-06-06,18.8, 1959-11-11 ,21.7, 1959-11-12 ,21.7, 1959-11-13,8/22/1992
MISSOULA INTL AP,Missoula,MT,106.1, 1996-12-31 , 1948-01-01 to 2017-06-06,14.4, 1975-02-07 ,17.9, 1996-12-25 ,22.1, 1996-12-26 ,10/7/1985
GLASGOW INTL AP,Glasgow,MT,83.4, 2011-12-31 , 1948-01-01 to 2017-06-06,12.8, 2008-10-12 ,14.3, 2003-12-27 ,14.4, 2003-12-28 ,9/24/1951
